Gene1,Gene2,Int Alz PPI(d),Int Alz PPI(j),Int all PPI(d),Int all PPI(j),CoExp(d),CoExp(j),Int syn(d),Int syn(j),Int Par PPI(d),Int Par PPI(j),Dif Co(d),Dif Co(j),Alz ptw 1,Alz ptw 2,Alz DISEASES 1,Alz DISEASES 2
ENSG00000143420,ENSG00000080815,1.0,0.07692307692307693,0.2,0.0,0,0,0,0,0,0,0,0,False,True,False,True
ENSG00000047457,ENSG00000138449,1.0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000113805,ENSG00000142192,1.0,0.04,0,0,0,0,0,0,0,0,0,0,False,True,False,True
ENSG00000113805,ENSG00000105290,1.0,0.42857142857142855,0,0,0,0,0,0,0,0,0.25,0.0,False,False,False,True
ENSG00000107282,ENSG00000142192,1.0,0.039473684210526314,1.0,0.10714285714285714,0,0,1.0,0.041666666666666664,1.0,0.16666666666666666,0,0,False,True,True,True
ENSG00000107282,ENSG00000154917,1.0,0.75,0,0,0.0,0.0,0,0,1.0,0.75,0,0,False,False,True,False
ENSG00000107282,ENSG00000175582,1.0,0.5,0.2,0.0,0.0,0.0,0,0,1.0,0.5,0,0,False,False,True,False
ENSG00000108821,ENSG00000159363,1.0,0.046511627906976744,0,0,0,0,0,0,1.0,0.046511627906976744,0,0,False,False,False,False
ENSG00000125384,ENSG00000142192,1.0,0.039473684210526314,0,0,0,0,0,0,1.0,0.16666666666666666,0,0,False,True,False,True
ENSG00000125384,ENSG00000141480,1.0,0.5,0,0,0,0,0,0,1.0,0.5,0,0,False,False,False,False
ENSG00000125384,ENSG00000137486,1.0,0.6666666666666666,0,0,0,0,0,0,1.0,0.6666666666666666,0,0,False,False,False,False
ENSG00000163041,ENSG00000164867,1.0,0.08,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000109971,ENSG00000142192,1.0,0.02631578947368421,0.3333333333333333,0.0,0,0,1.0,0.05172413793103448,0.5,0.11538461538461539,0,0,False,True,False,True
ENSG00000109971,ENSG00000159363,1.0,0.045454545454545456,1.0,0.10714285714285714,0,0,0,0,1.0,0.057692307692307696,0,0,False,False,False,False
ENSG00000198959,ENSG00000182871,1.0,1.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000198959,ENSG00000142192,1.0,0.05333333333333334,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,True,False,True
ENSG00000198959,ENSG00000137801,1.0,0.8,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
