Gene1,Gene2,Int Alz PPI(d),Int Alz PPI(j),Int all PPI(d),Int all PPI(j),CoExp(d),CoExp(j),Int syn(d),Int syn(j),Int Par PPI(d),Int Par PPI(j),Dif Co(d),Dif Co(j),Alz ptw 1,Alz ptw 2,Alz DISEASES 1,Alz DISEASES 2
ENSG00000196230,ENSG00000164924,0.5,0.2,0.5,0.007633587786259542,0.3333333333333333,0.0,0.5,0.09375,0.5,0.1111111111111111,0,0,False,False,False,False
ENSG00000198938,ENSG00000119917,0.0,0.0,0.25,0.0,0,0,0,0,0,0,0,0,True,False,False,False
ENSG00000033627,ENSG00000116141,0.0,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000198408,ENSG00000061676,0.0,0.0,0,0,0.2,0.0,0,0,0,0,0,0,False,False,False,False
ENSG00000197442,ENSG00000077522,0.25,0.0,0.3333333333333333,0.0,0,0,0.25,0.0,0,0,0,0,False,False,False,False
ENSG00000083720,ENSG00000197971,0.3333333333333333,0.0,0,0,0.16666666666666666,0.0,0,0,0.25,0.0,0,0,False,False,False,False
ENSG00000197442,ENSG00000154277,0.5,0.3333333333333333,0.3333333333333333,0.0,0,0,0.5,0.1111111111111111,0,0,0,0,False,False,False,True
ENSG00000182333,ENSG00000169223,0.2,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000181104,ENSG00000196365,0.2,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000096384,ENSG00000136754,0.0,0.0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000196262,ENSG00000108578,0.5,0.14285714285714285,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,True
ENSG00000114841,ENSG00000073969,0.5,0.3333333333333333,0,0,0,0,0.5,0.3333333333333333,0,0,0,0,False,False,False,False
ENSG00000118137,ENSG00000160087,0.25,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000106976,ENSG00000176749,0.25,0.0,0.25,0.0,0.0,0.0,0,0,0.2,0.0,0,0,False,True,False,False
ENSG00000100380,ENSG00000092969,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.2,0.0,0,0,0,0,False,False,False,False
ENSG00000119917,ENSG00000073969,0.5,0.1,0.2,0.0,0,0,0,0,0,0,0.0,0.0,False,False,False,False
ENSG00000171311,ENSG00000137312,0.3333333333333333,0.0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000129354,ENSG00000075413,0.3333333333333333,0.0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000061676,ENSG00000114841,0.0,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000198408,ENSG00000132002,0.5,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000113108,ENSG00000148688,0.3333333333333333,0.0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,True,False
ENSG00000081052,ENSG00000073969,0.3333333333333333,0.0,0,0,0,0,0.3333333333333333,0.0,0,0,0,0,False,False,False,False
ENSG00000160087,ENSG00000007047,0.2,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000107282,ENSG00000106976,0.5,0.2,0.25,0.0,0.0,0.0,0.5,0.1111111111111111,0.25,0.0,0,0,False,False,True,False
ENSG00000186868,ENSG00000107295,0.25,0.0,0.3333333333333333,0.0,0,0,0.16666666666666666,0.0,0.5,0.09090909090909091,0,0,True,False,True,False
ENSG00000198408,ENSG00000107959,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000171311,ENSG00000020129,0.5,0.125,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000075624,ENSG00000136754,0.0,0.0,0.5,0.03125,0,0,0,0,0,0,0,0,False,False,True,False
ENSG00000080824,ENSG00000136717,0.3333333333333333,0.0,0.25,0.0,0,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,False,False,False,True
ENSG00000119917,ENSG00000196981,0.25,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000005810,ENSG00000113758,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,0,0,0.3333333333333333,0.0,0,0,False,False,False,True
ENSG00000121966,ENSG00000105401,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,0,0,0.25,0.0,0,0,False,False,False,False
ENSG00000186318,ENSG00000078596,0.5,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,True,False,True,False
ENSG00000188153,ENSG00000176749,0.2,0.0,0,0,0.0,0.0,0,0,0,0,0,0,False,True,False,False
ENSG00000137414,ENSG00000159363,1.0,0.046511627906976744,0,0,0,0,0,0,1.0,0.046511627906976744,0,0,False,False,False,False
ENSG00000134871,ENSG00000083720,0.25,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000080815,ENSG00000168036,1.0,0.11538461538461539,1.0,0.06060606060606061,0,0,1.0,0.375,0.2,0.0,0,0,True,False,True,True
ENSG00000108821,ENSG00000020129,0.2,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000113108,ENSG00000167755,0.5,0.07692307692307693,0,0,0,0,0.5,0.07692307692307693,0,0,0,0,False,False,True,False
ENSG00000143420,ENSG00000138131,0.3333333333333333,0.0,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000159363,ENSG00000136717,0.25,0.0,0.2,0.0,0,0,0,0,0.25,0.0,0,0,False,False,False,True
ENSG00000133246,ENSG00000196230,0.5,0.125,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000185933,ENSG00000072506,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,False,True,True,True
ENSG00000105607,ENSG00000154917,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000104812,ENSG00000183496,0.16666666666666666,0.0,0.2,0.0,0,0,0,0,0.2,0.0,0,0,False,False,False,False
ENSG00000136854,ENSG00000138180,0.25,0.0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000196230,ENSG00000167755,0.5,0.08333333333333333,0,0,0,0,0.5,0.05,0,0,0,0,False,False,False,False
ENSG00000183496,ENSG00000138115,0.2,0.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000136717,ENSG00000186318,0.3333333333333333,0.0,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,False,True,True,True
