"","Gene1","Gene2","Int.Alz.PPI.d.","Int.Alz.PPI.j.","Int.all.PPI.d.","Int.all.PPI.j.","CoExp.d.","CoExp.j.","Int.syn.d.","Int.syn.j.","Int.Par.PPI.d.","Int.Par.PPI.j.","Dif.Co.d.","Dif.Co.j.","Alz.ptw.1","Alz.ptw.2","Alz.DISEASES.1","Alz.DISEASES.2"
"1","ENSG00000143420","ENSG00000080815",1,0.0769230769230769,0.2,0,0,0,0,0,0,0,0,0,"False","True","False","True"
"2","ENSG00000047457","ENSG00000138449",1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"3","ENSG00000113805","ENSG00000142192",1,0.04,0,0,0,0,0,0,0,0,0,0,"False","True","False","True"
"4","ENSG00000113805","ENSG00000105290",1,0.428571428571429,0,0,0,0,0,0,0,0,0.25,0,"False","False","False","True"
"8","ENSG00000108821","ENSG00000159363",1,0.0465116279069767,0,0,0,0,0,0,1,0.0465116279069767,0,0,"False","False","False","False"
"9","ENSG00000125384","ENSG00000142192",1,0.0394736842105263,0,0,0,0,0,0,1,0.166666666666667,0,0,"False","True","False","True"
"10","ENSG00000125384","ENSG00000141480",1,0.5,0,0,0,0,0,0,1,0.5,0,0,"False","False","False","False"
"11","ENSG00000125384","ENSG00000137486",1,0.666666666666667,0,0,0,0,0,0,1,0.666666666666667,0,0,"False","False","False","False"
"12","ENSG00000163041","ENSG00000164867",1,0.08,0.333333333333333,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"14","ENSG00000109971","ENSG00000159363",1,0.0454545454545455,1,0.107142857142857,0,0,0,0,1,0.0576923076923077,0,0,"False","False","False","False"
"15","ENSG00000198959","ENSG00000182871",1,1,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"16","ENSG00000198959","ENSG00000142192",1,0.0533333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,"False","True","False","True"
"17","ENSG00000198959","ENSG00000137801",1,0.8,0.2,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"18","ENSG00000106615","ENSG00000130159",1,0.148148148148148,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"19","ENSG00000106615","ENSG00000143801",1,0.166666666666667,0,0,0,0,0,0,0,0,0,0,"False","True","False","True"
"20","ENSG00000106615","ENSG00000175899",1,0.111111111111111,0,0,0,0,0,0,0,0,0,0,"False","False","False","True"
"21","ENSG00000181104","ENSG00000159363",1,0.0465116279069767,0,0,0,0,0,0,1,0.0465116279069767,0,0,"False","False","False","False"
"22","ENSG00000138134","ENSG00000130159",1,0.185185185185185,0.25,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"23","ENSG00000138134","ENSG00000105401",1,0.16,0.333333333333333,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"24","ENSG00000138134","ENSG00000105613",1,0.0882352941176471,0.25,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"25","ENSG00000138134","ENSG00000105982",1,0.16,1,0.133333333333333,0,0,0,0,0,0,0,0,"False","False","False","False"
"26","ENSG00000153066","ENSG00000164867",1,0.08,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"27","ENSG00000107959","ENSG00000142192",1,0.0266666666666667,0,0,0,0,0,0,0,0,0,0,"False","True","False","True"
"29","ENSG00000172775","ENSG00000159363",1,0.0465116279069767,0.25,0,0,0,0,0,1,0.0454545454545455,0,0,"False","False","False","False"
"35","ENSG00000092098","ENSG00000164867",1,0.08,0.333333333333333,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"36","ENSG00000182871","ENSG00000182871",1,1,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"37","ENSG00000182871","ENSG00000142192",1,0.0533333333333333,0,0,0,0,0,0,0,0,0,0,"False","True","False","True"
"38","ENSG00000182871","ENSG00000137801",1,0.8,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"39","ENSG00000148688","ENSG00000105613",1,0.0625,0.25,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"40","ENSG00000132718","ENSG00000159363",1,0.0465116279069767,1,0.2,0,0,0,0,1,0.0465116279069767,0,0,"False","False","False","False"
"43","ENSG00000108622","ENSG00000159363",1,0.0465116279069767,0,0,0,0,0,0,1,0.0465116279069767,0,0,"False","False","False","False"
"45","ENSG00000136754","ENSG00000061676",1,0.5,1,0.272727272727273,0,0,0,0,0,0,0,0,"False","False","False","False"
"46","ENSG00000136754","ENSG00000158092",1,0.5,0.5,0.032258064516129,0,0,0,0,0,0,0,0,"False","False","False","False"
"47","ENSG00000136754","ENSG00000097007",1,0.5,1,0.0555555555555556,0,0,0,0,0,0,0,0,"False","False","False","False"
"49","ENSG00000130159","ENSG00000138131",1,0.296296296296296,0.2,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"50","ENSG00000130159","ENSG00000167815",1,0.296296296296296,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"51","ENSG00000130159","ENSG00000171311",1,0.259259259259259,0.25,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"52","ENSG00000130159","ENSG00000152778",1,0.321428571428571,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"53","ENSG00000130159","ENSG00000129354",1,0.107142857142857,0.2,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"54","ENSG00000130159","ENSG00000196361",1,0.214285714285714,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"55","ENSG00000130159","ENSG00000108578",1,0.137931034482759,0.25,0,0,0,0,0,0,0,0,0,"False","False","False","True"
"56","ENSG00000130159","ENSG00000107829",1,0.185185185185185,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"57","ENSG00000130159","ENSG00000105401",1,0.457142857142857,0.5,0.0512820512820513,0,0,0,0,0,0,0,0,"False","False","False","False"
"58","ENSG00000130159","ENSG00000132002",1,0.178571428571429,0.333333333333333,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"59","ENSG00000130159","ENSG00000105613",1,0.475,0.25,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"60","ENSG00000130159","ENSG00000108242",1,0.111111111111111,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"61","ENSG00000130159","ENSG00000105607",1,0.285714285714286,0.5,0.125,0,0,0,0,0,0,0,0,"False","False","False","False"
"62","ENSG00000130159","ENSG00000179115",1,0.111111111111111,1,0.285714285714286,0,0,0,0,0,0,0,0,"False","False","False","False"
"63","ENSG00000130159","ENSG00000138180",1,0.0714285714285714,0.2,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"64","ENSG00000130159","ENSG00000105982",1,0.457142857142857,0.2,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"65","ENSG00000130159","ENSG00000196365",1,0.275862068965517,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"66","ENSG00000130159","ENSG00000080815",1,0.127659574468085,1,0.1,0,0,0,0,0,0,0,0,"False","True","False","True"
"67","ENSG00000130159","ENSG00000157212",1,0.133333333333333,0.2,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"68","ENSG00000130159","ENSG00000179262",1,0.275862068965517,0.25,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"69","ENSG00000130159","ENSG00000143801",1,0.222222222222222,1,0.133333333333333,0,0,0,0,0,0,0,0,"False","True","False","True"
"70","ENSG00000130159","ENSG00000175899",1,0.432432432432432,0,0,0,0,0,0,0,0,0,0,"False","False","False","True"
"71","ENSG00000130159","ENSG00000130203",1,0.28125,1,0.166666666666667,0,0,0,0,0,0,0,0,"False","True","False","True"
"72","ENSG00000130159","ENSG00000138190",1,0.275862068965517,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"73","ENSG00000103942","ENSG00000142192",1,0.0266666666666667,0.25,0,0,0,0,0,0,0,0,0,"False","True","False","True"
"74","ENSG00000087258","ENSG00000142192",1,0.0266666666666667,0,0,0,0,0,0,1,0.117647058823529,0,0,"False","True","False","True"
"75","ENSG00000138131","ENSG00000105401",1,0.230769230769231,0.25,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"76","ENSG00000138131","ENSG00000105613",1,0.212121212121212,0.2,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"77","ENSG00000138131","ENSG00000196365",1,0.384615384615385,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"78","ENSG00000138131","ENSG00000179262",1,0.384615384615385,0.25,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"79","ENSG00000138131","ENSG00000130203",1,0.294117647058824,0.2,0,0,0,0,0,0,0,0,0,"False","True","False","True"
"80","ENSG00000138131","ENSG00000138190",1,0.285714285714286,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"82","ENSG00000162736","ENSG00000080815",1,0.153846153846154,1,0.157894736842105,0,0,1,0.272727272727273,0.5,0.333333333333333,0,0,"True","True","True","True"
"83","ENSG00000162736","ENSG00000143801",1,0.235294117647059,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,"True","True","True","True"
"84","ENSG00000167815","ENSG00000152778",1,0.636363636363636,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
