ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000142192	ENSG00000166313	0.73	PPI	undirected	ADIA
ENSG00000142192	ENSG00000166313	0.73	PPI	undirected	ADIA
ENSG00000142192	ENSG00000188157	0.27	PPI	undirected	ADIA
ENSG00000142192	ENSG00000188157	0.27	PPI	undirected	ADIA
ENSG00000142192	ENSG00000188157	0.27	PPI	undirected	ADIA
ENSG00000186868	ENSG00000136717	0.56	PPI	undirected	ADIA
ENSG00000186868	ENSG00000136717	0.40	PPI	undirected	ADIA
ENSG00000186868	ENSG00000136717	0.56	PPI	undirected	ADIA
ENSG00000186868	ENSG00000136717	0.56	PPI	undirected	ADIA
ENSG00000119917	ENSG00000119917	0.68	PPI	undirected	ADIA
ENSG00000130203	ENSG00000119917	0.37	PPI	undirected	ADIA
ENSG00000179262	ENSG00000119917	0.37	PPI	undirected	ADIA
ENSG00000152778	ENSG00000119917	0.37	PPI	undirected	ADIA
ENSG00000164867	ENSG00000130402	0.37	PPI	undirected	ADIA
ENSG00000142192	ENSG00000078596	0.52	PPI	undirected	ADIA
ENSG00000080815	ENSG00000143420	0.37	PPI	undirected	ADIA
ENSG00000159363	ENSG00000104765	0.51	PPI	undirected	ADIA
ENSG00000105401	ENSG00000198408	0.37	PPI	undirected	ADIA
ENSG00000130203	ENSG00000133069	0.59	PPI	undirected	ADIA
ENSG00000130203	ENSG00000133069	0.59	PPI	undirected	ADIA
ENSG00000130203	ENSG00000133069	0.59	PPI	undirected	ADIA
ENSG00000142192	ENSG00000146072	0.61	PPI	undirected	ADIA
ENSG00000142192	ENSG00000146072	0.61	PPI	undirected	ADIA
ENSG00000159363	ENSG00000070018	0.37	PPI	undirected	ADIA
ENSG00000142192	ENSG00000137312	0.58	PPI	undirected	ADIA
ENSG00000142192	ENSG00000137312	0.58	PPI	undirected	ADIA
ENSG00000159363	ENSG00000174851	0.51	PPI	undirected	ADIA
ENSG00000142192	ENSG00000113108	0.37	PPI	undirected	ADIA
ENSG00000138180	ENSG00000105514	0.37	PPI	undirected	ADIA
ENSG00000105613	ENSG00000105514	0.37	PPI	undirected	ADIA
ENSG00000164867	ENSG00000172638	0.37	PPI	undirected	ADIA
ENSG00000145335	ENSG00000198938	0.51	PPI	undirected	ADIA
ENSG00000145335	ENSG00000198938	0.51	PPI	undirected	ADIA
ENSG00000157212	ENSG00000175899	0.37	PPI	undirected	ADIA
ENSG00000167815	ENSG00000175899	0.37	PPI	undirected	ADIA
ENSG00000133246	ENSG00000175899	0.37	PPI	undirected	ADIA
ENSG00000198408	ENSG00000175899	0.37	PPI	undirected	ADIA
ENSG00000138115	ENSG00000175899	0.37	PPI	undirected	ADIA
ENSG00000164867	ENSG00000175899	0.37	PPI	undirected	ADIA
ENSG00000152778	ENSG00000175899	0.37	PPI	undirected	ADIA
ENSG00000114491	ENSG00000175899	0.37	PPI	undirected	ADIA
ENSG00000181029	ENSG00000175899	0.37	PPI	undirected	ADIA
ENSG00000119917	ENSG00000175899	0.37	PPI	undirected	ADIA
