ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000204580	ENSG00000135063	5.37070831007339e-06	coexpression	undirected	ADN
ENSG00000173110	ENSG00000225217	3.40327663445842e-14	coexpression	undirected	ADN
ENSG00000182179	ENSG00000263506	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000173153	ENSG00000215572	1.26243099813067e-09	coexpression	undirected	ADN
ENSG00000188818	ENSG00000206077	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000186579	ENSG00000187082	7.71163726156645e-19	coexpression	undirected	ADN
ENSG00000184277	ENSG00000104381	3.28122638155641e-06	coexpression	undirected	ADN
ENSG00000184277	ENSG00000114573	1.36285919589431e-06	coexpression	undirected	ADN
ENSG00000184277	ENSG00000115310	6.2563673186767e-06	coexpression	undirected	ADN
ENSG00000184277	ENSG00000173726	7.15623376000216e-06	coexpression	undirected	ADN
ENSG00000184277	ENSG00000175582	6.2563673186767e-06	coexpression	undirected	ADN
ENSG00000184277	ENSG00000222014	6.2563673186767e-06	coexpression	undirected	ADN
ENSG00000127957	ENSG00000168255	8.61129867512483e-19	coexpression	undirected	ADN
ENSG00000127957	ENSG00000228049	8.61129867512483e-19	coexpression	undirected	ADN
ENSG00000127957	ENSG00000267645	8.61129867512483e-19	coexpression	undirected	ADN
ENSG00000127957	ENSG00000272655	8.61129867512483e-19	coexpression	undirected	ADN
ENSG00000168255	ENSG00000228049	8.61129867512483e-19	coexpression	undirected	ADN
ENSG00000168255	ENSG00000267645	8.61129867512483e-19	coexpression	undirected	ADN
ENSG00000168255	ENSG00000272655	8.61129867512483e-19	coexpression	undirected	ADN
ENSG00000228049	ENSG00000267645	8.61129867512483e-19	coexpression	undirected	ADN
ENSG00000228049	ENSG00000272655	8.61129867512483e-19	coexpression	undirected	ADN
ENSG00000267645	ENSG00000272655	8.61129867512483e-19	coexpression	undirected	ADN
ENSG00000141337	ENSG00000267009	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000160072	ENSG00000197785	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000092871	ENSG00000267618	1.63090781589798e-09	coexpression	undirected	ADN
ENSG00000137752	ENSG00000204397	1.63090781589798e-09	coexpression	undirected	ADN
ENSG00000175874	ENSG00000171617	3.47345353057199e-06	coexpression	undirected	ADN
ENSG00000233016	ENSG00000276161	3.97320408357624e-14	coexpression	undirected	ADN
ENSG00000233016	ENSG00000280496	3.97320408357624e-14	coexpression	undirected	ADN
ENSG00000276161	ENSG00000280496	3.97320408357624e-14	coexpression	undirected	ADN
ENSG00000183960	ENSG00000086205	7.20018390881665e-06	coexpression	undirected	ADN
ENSG00000183960	ENSG00000134612	7.20018390881665e-06	coexpression	undirected	ADN
ENSG00000186562	ENSG00000186599	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000176358	ENSG00000248908	5.11851546885078e-07	coexpression	undirected	ADN
ENSG00000145833	ENSG00000181904	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000148482	ENSG00000114698	2.06817635872277e-06	coexpression	undirected	ADN
ENSG00000148482	ENSG00000119729	3.95755571411409e-06	coexpression	undirected	ADN
ENSG00000148482	ENSG00000152990	8.52750995180259e-06	coexpression	undirected	ADN
ENSG00000179630	ENSG00000281883	3.40327663445842e-14	coexpression	undirected	ADN
ENSG00000174007	ENSG00000201441	2.12704789653652e-11	coexpression	undirected	ADN
ENSG00000104643	ENSG00000164729	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000104643	ENSG00000177710	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000104643	ENSG00000259224	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000104643	ENSG00000267773	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000164729	ENSG00000177710	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000164729	ENSG00000259224	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000164729	ENSG00000267773	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000177710	ENSG00000259224	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000177710	ENSG00000267773	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000259224	ENSG00000267773	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000130035	ENSG00000151079	1.32011793136248e-09	coexpression	undirected	ADN
ENSG00000163126	ENSG00000213337	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000172421	ENSG00000240758	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000172421	ENSG00000272601	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000240758	ENSG00000272601	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000105429	ENSG00000167619	1.39547478302735e-09	coexpression	undirected	ADN
ENSG00000157654	ENSG00000243444	1.32011793136248e-09	coexpression	undirected	ADN
ENSG00000150093	ENSG00000269378	1.2746912101015e-09	coexpression	undirected	ADN
ENSG00000198804	ENSG00000237973	1.61715387041352e-09	coexpression	undirected	ADN
ENSG00000198763	ENSG00000198888	6.28390097070851e-13	coexpression	undirected	ADN
ENSG00000198763	ENSG00000210100	6.28390097070851e-13	coexpression	undirected	ADN
ENSG00000198763	ENSG00000210112	6.28390097070851e-13	coexpression	undirected	ADN
ENSG00000198888	ENSG00000210100	6.28390097070851e-13	coexpression	undirected	ADN
ENSG00000198888	ENSG00000210112	6.28390097070851e-13	coexpression	undirected	ADN
ENSG00000210100	ENSG00000210112	6.28390097070851e-13	coexpression	undirected	ADN
ENSG00000198712	ENSG00000198804	1.43984519982362e-09	coexpression	undirected	ADN
ENSG00000198712	ENSG00000210154	1.43984519982362e-09	coexpression	undirected	ADN
ENSG00000198804	ENSG00000210154	1.43984519982362e-09	coexpression	undirected	ADN
ENSG00000198695	ENSG00000210194	1.00467283830287e-18	coexpression	undirected	ADN
ENSG00000204805	ENSG00000274026	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000204805	ENSG00000276135	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000274026	ENSG00000276135	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000158113	ENSG00000176383	3.12925300409572e-14	coexpression	undirected	ADN
ENSG00000171773	ENSG00000269035	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000128262	ENSG00000161103	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000128262	ENSG00000197210	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000161103	ENSG00000197210	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000213638	ENSG00000227500	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000160200	ENSG00000274276	3.83090681617761e-14	coexpression	undirected	ADN
ENSG00000184911	ENSG00000269502	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000173575	ENSG00000279765	3.12925300409572e-14	coexpression	undirected	ADN
ENSG00000126524	ENSG00000225648	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000080822	ENSG00000136960	5.1664081850603e-07	coexpression	undirected	ADN
ENSG00000080822	ENSG00000150867	2.82378063550657e-06	coexpression	undirected	ADN
ENSG00000080822	ENSG00000244274	5.1664081850603e-07	coexpression	undirected	ADN
ENSG00000080822	ENSG00000254806	5.1664081850603e-07	coexpression	undirected	ADN
ENSG00000155428	ENSG00000178809	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000185829	ENSG00000228696	7.66474657494184e-19	coexpression	undirected	ADN
ENSG00000184945	ENSG00000185176	1.28611837914828e-09	coexpression	undirected	ADN
ENSG00000166473	ENSG00000279362	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000198106	ENSG00000271699	1.32039489757933e-09	coexpression	undirected	ADN
ENSG00000135392	ENSG00000257390	1.63090781589798e-09	coexpression	undirected	ADN
ENSG00000202474	ENSG00000207277	3.97320408357624e-14	coexpression	undirected	ADN
ENSG00000202474	ENSG00000277049	3.97320408357624e-14	coexpression	undirected	ADN
ENSG00000207277	ENSG00000277049	3.97320408357624e-14	coexpression	undirected	ADN
ENSG00000202474	ENSG00000207277	1.43984519982362e-09	coexpression	undirected	ADN
ENSG00000202474	ENSG00000277049	1.43984519982362e-09	coexpression	undirected	ADN
ENSG00000207277	ENSG00000202474	1.43984519982362e-09	coexpression	undirected	ADN
ENSG00000207277	ENSG00000277049	1.43984519982362e-09	coexpression	undirected	ADN
ENSG00000277049	ENSG00000202474	1.43984519982362e-09	coexpression	undirected	ADN
ENSG00000277049	ENSG00000207277	1.43984519982362e-09	coexpression	undirected	ADN
ENSG00000118733	ENSG00000132872	8.63640397506714e-06	coexpression	undirected	ADN
ENSG00000140285	ENSG00000185390	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000140285	ENSG00000204801	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000140285	ENSG00000204816	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000140285	ENSG00000204837	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000140285	ENSG00000216829	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000140285	ENSG00000219693	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000140285	ENSG00000227449	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000140285	ENSG00000264061	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000185390	ENSG00000204801	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000185390	ENSG00000204816	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000185390	ENSG00000204837	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000185390	ENSG00000216829	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000185390	ENSG00000219693	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000185390	ENSG00000227449	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000185390	ENSG00000264061	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204801	ENSG00000204816	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204801	ENSG00000204837	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204801	ENSG00000216829	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204801	ENSG00000219693	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204801	ENSG00000227449	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204801	ENSG00000264061	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204816	ENSG00000204837	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204816	ENSG00000216829	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204816	ENSG00000219693	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204816	ENSG00000227449	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204816	ENSG00000264061	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204837	ENSG00000216829	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204837	ENSG00000219693	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204837	ENSG00000227449	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000204837	ENSG00000264061	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000216829	ENSG00000219693	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000216829	ENSG00000227449	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000216829	ENSG00000264061	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000219693	ENSG00000227449	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000219693	ENSG00000264061	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000227449	ENSG00000264061	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000184908	ENSG00000186510	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000164109	ENSG00000258445	1.63090781589798e-09	coexpression	undirected	ADN
ENSG00000182912	ENSG00000235890	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000105835	ENSG00000229644	1.45323482396686e-10	coexpression	undirected	ADN
ENSG00000158987	ENSG00000273217	7.66474657494184e-19	coexpression	undirected	ADN
ENSG00000158987	ENSG00000281164	7.66474657494184e-19	coexpression	undirected	ADN
ENSG00000273217	ENSG00000281164	7.66474657494184e-19	coexpression	undirected	ADN
ENSG00000155026	ENSG00000169402	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000188687	ENSG00000264324	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000137843	ENSG00000259288	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000169228	ENSG00000213347	3.12925300409572e-14	coexpression	undirected	ADN
ENSG00000055609	ENSG00000187172	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000153015	ENSG00000060339	7.48078657401922e-07	coexpression	undirected	ADN
ENSG00000213809	ENSG00000255819	1.26243099813067e-09	coexpression	undirected	ADN
ENSG00000106615	ENSG00000165874	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000106615	ENSG00000226964	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000106615	ENSG00000229927	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000165874	ENSG00000226964	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000165874	ENSG00000229927	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000226964	ENSG00000229927	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000048828	ENSG00000232375	2.45271890398138e-17	coexpression	undirected	ADN
ENSG00000156976	ENSG00000200320	1.2746912101015e-09	coexpression	undirected	ADN
ENSG00000156976	ENSG00000263776	1.2746912101015e-09	coexpression	undirected	ADN
ENSG00000200320	ENSG00000263776	1.2746912101015e-09	coexpression	undirected	ADN
ENSG00000113712	ENSG00000230551	2.12704789653652e-11	coexpression	undirected	ADN
ENSG00000198934	ENSG00000112290	7.35562002244635e-06	coexpression	undirected	ADN
ENSG00000198934	ENSG00000124140	3.84665120135129e-06	coexpression	undirected	ADN
ENSG00000198934	ENSG00000132639	7.35562002244635e-06	coexpression	undirected	ADN
ENSG00000198934	ENSG00000146267	5.82285425241885e-07	coexpression	undirected	ADN
ENSG00000187109	ENSG00000164609	3.89182725553896e-06	coexpression	undirected	ADN
ENSG00000135976	ENSG00000196912	7.66474657494184e-19	coexpression	undirected	ADN
ENSG00000135976	ENSG00000230006	7.66474657494184e-19	coexpression	undirected	ADN
ENSG00000196912	ENSG00000230006	7.66474657494184e-19	coexpression	undirected	ADN
ENSG00000164588	ENSG00000144959	5.49583549870651e-06	coexpression	undirected	ADN
ENSG00000164588	ENSG00000162374	9.13403261426347e-06	coexpression	undirected	ADN
ENSG00000216863	ENSG00000241216	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000136153	ENSG00000261553	3.15907248008801e-14	coexpression	undirected	ADN
ENSG00000154330	ENSG00000227917	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000154330	ENSG00000234148	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000154330	ENSG00000234394	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000154330	ENSG00000276462	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000227917	ENSG00000234148	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000227917	ENSG00000234394	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000227917	ENSG00000276462	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000234148	ENSG00000234394	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000234148	ENSG00000276462	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000234394	ENSG00000276462	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000166847	ENSG00000260482	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000254846	ENSG00000259001	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000254846	ENSG00000277209	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000259001	ENSG00000277209	7.81892585010897e-19	coexpression	undirected	ADN
ENSG00000229719	ENSG00000277225	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000178115	ENSG00000277561	3.19080166644915e-14	coexpression	undirected	ADN
ENSG00000279186	ENSG00000279303	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000279186	ENSG00000279967	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000279303	ENSG00000279967	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000226471	ENSG00000280111	1.20235546196327e-09	coexpression	undirected	ADN
ENSG00000166233	ENSG00000260672	1.2746912101015e-09	coexpression	undirected	ADN
ENSG00000154330	ENSG00000227917	1.2746912101015e-09	coexpression	undirected	ADN
ENSG00000154330	ENSG00000234394	1.2746912101015e-09	coexpression	undirected	ADN
ENSG00000154330	ENSG00000276462	1.2746912101015e-09	coexpression	undirected	ADN
ENSG00000227917	ENSG00000154330	1.2746912101015e-09	coexpression	undirected	ADN
