ensg1	ensg2
ENSG00000000003	ENSG00000013441
ENSG00000002746	ENSG00000105220
ENSG00000002746	ENSG00000117069
ENSG00000002746	ENSG00000121905
ENSG00000002746	ENSG00000221890
ENSG00000002933	ENSG00000189056
ENSG00000003989	ENSG00000162951
ENSG00000004468	ENSG00000212829
ENSG00000004799	ENSG00000116678
ENSG00000004799	ENSG00000144837
ENSG00000005486	ENSG00000054277
ENSG00000005486	ENSG00000073756
ENSG00000005486	ENSG00000101846
ENSG00000005486	ENSG00000104361
ENSG00000005486	ENSG00000113327
ENSG00000005486	ENSG00000144230
ENSG00000005486	ENSG00000165795
ENSG00000005486	ENSG00000172568
ENSG00000005486	ENSG00000196562
ENSG00000006116	ENSG00000054277
ENSG00000006116	ENSG00000068078
ENSG00000006116	ENSG00000091428
ENSG00000006116	ENSG00000104361
ENSG00000006116	ENSG00000113327
ENSG00000006116	ENSG00000117114
ENSG00000006116	ENSG00000123119
ENSG00000006116	ENSG00000134909
ENSG00000006116	ENSG00000146352
ENSG00000006116	ENSG00000147676
ENSG00000006116	ENSG00000150054
ENSG00000006116	ENSG00000157214
ENSG00000006116	ENSG00000162989
ENSG00000006116	ENSG00000164951
ENSG00000006116	ENSG00000165795
ENSG00000006116	ENSG00000169946
ENSG00000006116	ENSG00000172209
ENSG00000006116	ENSG00000176204
ENSG00000006116	ENSG00000176928
ENSG00000006116	ENSG00000183775
ENSG00000006747	ENSG00000133742
ENSG00000007516	ENSG00000100884
ENSG00000007516	ENSG00000115252
ENSG00000007516	ENSG00000126583
ENSG00000007516	ENSG00000147862
ENSG00000007516	ENSG00000157404
ENSG00000007516	ENSG00000162951
ENSG00000007516	ENSG00000166257
ENSG00000007516	ENSG00000169035
ENSG00000007516	ENSG00000198216
ENSG00000007908	ENSG00000084453
ENSG00000007908	ENSG00000105695
ENSG00000007908	ENSG00000109846
ENSG00000007908	ENSG00000135824
ENSG00000007908	ENSG00000204655
ENSG00000008056	ENSG00000164794
ENSG00000008118	ENSG00000112137
ENSG00000008118	ENSG00000117069
ENSG00000008118	ENSG00000136928
ENSG00000008118	ENSG00000164885
ENSG00000008118	ENSG00000167535
ENSG00000008118	ENSG00000197872
ENSG00000010278	ENSG00000068976
ENSG00000010278	ENSG00000119938
ENSG00000010278	ENSG00000133083
ENSG00000010278	ENSG00000167703
ENSG00000010278	ENSG00000173376
ENSG00000010327	ENSG00000111885
ENSG00000010327	ENSG00000133742
ENSG00000010327	ENSG00000157404
ENSG00000010327	ENSG00000164106
ENSG00000011347	ENSG00000117069
ENSG00000011600	ENSG00000094916
ENSG00000011600	ENSG00000133742
ENSG00000011677	ENSG00000021300
ENSG00000011677	ENSG00000025423
ENSG00000011677	ENSG00000035862
ENSG00000011677	ENSG00000049759
ENSG00000011677	ENSG00000054277
ENSG00000011677	ENSG00000067992
ENSG00000011677	ENSG00000068078
ENSG00000011677	ENSG00000069712
ENSG00000011677	ENSG00000074706
ENSG00000011677	ENSG00000075426
ENSG00000011677	ENSG00000075461
ENSG00000011677	ENSG00000081803
ENSG00000011677	ENSG00000087095
ENSG00000011677	ENSG00000092621
ENSG00000011677	ENSG00000099622
ENSG00000011677	ENSG00000104361
ENSG00000011677	ENSG00000104635
ENSG00000011677	ENSG00000107679
ENSG00000011677	ENSG00000108018
ENSG00000011677	ENSG00000109670
ENSG00000011677	ENSG00000113327
ENSG00000011677	ENSG00000114279
ENSG00000011677	ENSG00000118816
ENSG00000011677	ENSG00000123119
ENSG00000011677	ENSG00000131773
ENSG00000011677	ENSG00000134909
ENSG00000011677	ENSG00000135426
ENSG00000011677	ENSG00000138134
ENSG00000011677	ENSG00000138378
ENSG00000011677	ENSG00000144230
ENSG00000011677	ENSG00000144285
ENSG00000011677	ENSG00000146352
ENSG00000011677	ENSG00000162384
ENSG00000011677	ENSG00000162989
ENSG00000011677	ENSG00000163399
ENSG00000011677	ENSG00000164794
ENSG00000011677	ENSG00000164830
ENSG00000011677	ENSG00000164951
ENSG00000011677	ENSG00000165209
ENSG00000011677	ENSG00000165795
ENSG00000011677	ENSG00000169933
