ensg1	ensg2	score	interaction
ENSG00000125450	ENSG00000121807	0.56	PPI
ENSG00000113558	ENSG00000168026	0.56	PPI
ENSG00000162924	ENSG00000168026	0.56	PPI
ENSG00000101624	ENSG00000168026	0.56	PPI
ENSG00000198681	ENSG00000110876	0.56	PPI
ENSG00000120498	ENSG00000071243	0.56	PPI
ENSG00000138100	ENSG00000071243	0.56	PPI
ENSG00000130307	ENSG00000071243	0.56	PPI
ENSG00000131721	ENSG00000011590	0.56	PPI
ENSG00000173406	ENSG00000011590	0.56	PPI
ENSG00000157110	ENSG00000011590	0.56	PPI
ENSG00000108788	ENSG00000011590	0.56	PPI
ENSG00000087077	ENSG00000188266	0.56	PPI
ENSG00000087338	ENSG00000188266	0.56	PPI
ENSG00000085231	ENSG00000134248	0.56	PPI
ENSG00000109906	ENSG00000134248	0.56	PPI
ENSG00000114107	ENSG00000134248	0.56	PPI
ENSG00000196470	ENSG00000083814	0.56	PPI
ENSG00000165891	ENSG00000129173	0.52	PPI
ENSG00000147421	ENSG00000033178	0.56	PPI
ENSG00000117868	ENSG00000117868	0.68	PPI
ENSG00000139641	ENSG00000117868	0.46	PPI
ENSG00000117868	ENSG00000158220	0.46	PPI
ENSG00000139641	ENSG00000158220	0.46	PPI
ENSG00000121769	ENSG00000187164	0.56	PPI
ENSG00000143156	ENSG00000187164	0.56	PPI
ENSG00000196482	ENSG00000187164	0.56	PPI
ENSG00000176903	ENSG00000178343	0.56	PPI
ENSG00000166946	ENSG00000188735	0.56	PPI
ENSG00000134107	ENSG00000186980	0.56	PPI
ENSG00000157110	ENSG00000186980	0.56	PPI
ENSG00000254997	ENSG00000137266	0.56	PPI
ENSG00000187766	ENSG00000137266	0.56	PPI
ENSG00000264343	ENSG00000137266	0.56	PPI
ENSG00000104892	ENSG00000162069	0.56	PPI
ENSG00000101624	ENSG00000105135	0.56	PPI
ENSG00000113648	ENSG00000204334	0.56	PPI
ENSG00000137575	ENSG00000204334	0.56	PPI
ENSG00000152240	ENSG00000217442	0.56	PPI
ENSG00000104164	ENSG00000217442	0.56	PPI
ENSG00000254997	ENSG00000108256	0.56	PPI
ENSG00000099139	ENSG00000108256	0.56	PPI
ENSG00000212900	ENSG00000108256	0.56	PPI
ENSG00000056558	ENSG00000108256	0.56	PPI
ENSG00000213416	ENSG00000108256	0.56	PPI
ENSG00000105198	ENSG00000108256	0.56	PPI
ENSG00000212899	ENSG00000108256	0.56	PPI
ENSG00000221837	ENSG00000108256	0.56	PPI
ENSG00000187766	ENSG00000108256	0.56	PPI
ENSG00000272804	ENSG00000108256	0.56	PPI
ENSG00000205864	ENSG00000108256	0.56	PPI
ENSG00000091844	ENSG00000108256	0.56	PPI
ENSG00000244537	ENSG00000108256	0.56	PPI
ENSG00000239886	ENSG00000108256	0.56	PPI
ENSG00000172638	ENSG00000108256	0.56	PPI
ENSG00000241595	ENSG00000108256	0.56	PPI
ENSG00000047579	ENSG00000164181	0.56	PPI
ENSG00000087338	ENSG00000216649	0.56	PPI
ENSG00000087338	ENSG00000227488	0.56	PPI
ENSG00000087338	ENSG00000237671	0.56	PPI
ENSG00000107651	ENSG00000179954	0.56	PPI
ENSG00000103154	ENSG00000179954	0.56	PPI
ENSG00000213024	ENSG00000179954	0.56	PPI
ENSG00000056558	ENSG00000179954	0.56	PPI
ENSG00000152944	ENSG00000179954	0.56	PPI
ENSG00000047579	ENSG00000179954	0.56	PPI
ENSG00000182473	ENSG00000179954	0.56	PPI
ENSG00000180938	ENSG00000186628	0.6	PPI
ENSG00000141570	ENSG00000186628	0.56	PPI
ENSG00000170264	ENSG00000186628	0.56	PPI
ENSG00000171847	ENSG00000186628	0.56	PPI
