ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000188906	ENSG00000163092	0.44	PPI	undirected	PIA
ENSG00000151967	ENSG00000159915	0.40	PPI	undirected	PIA
ENSG00000170345	ENSG00000135052	0.40	PPI	undirected	PIA
ENSG00000204231	ENSG00000141258	0.40	PPI	undirected	PIA
ENSG00000160113	ENSG00000226742	0.40	PPI	undirected	PIA
ENSG00000181220	ENSG00000124253	0.35	PPI	undirected	PIA
ENSG00000118513	ENSG00000068796	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000068796	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000197879	0.35	PPI	undirected	PIA
ENSG00000125952	ENSG00000110711	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000132842	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000116977	0.44	PPI	undirected	PIA
ENSG00000168040	ENSG00000104689	0.53	PPI	undirected	PIA
ENSG00000064012	ENSG00000104689	0.76	PPI	undirected	PIA
ENSG00000188906	ENSG00000108671	0.46	PPI	undirected	PIA
ENSG00000188906	ENSG00000108671	0.46	PPI	undirected	PIA
ENSG00000188906	ENSG00000130699	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000160049	0.35	PPI	undirected	PIA
ENSG00000104529	ENSG00000106299	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000065150	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000087470	0.44	PPI	undirected	PIA
ENSG00000188906	ENSG00000087470	0.82	PPI	undirected	PIA
ENSG00000188906	ENSG00000087470	0.82	PPI	undirected	PIA
ENSG00000188906	ENSG00000087470	0.82	PPI	undirected	PIA
ENSG00000188906	ENSG00000087470	0.82	PPI	undirected	PIA
ENSG00000188906	ENSG00000087470	0.82	PPI	undirected	PIA
ENSG00000188906	ENSG00000087470	0.82	PPI	undirected	PIA
ENSG00000188906	ENSG00000087470	0.82	PPI	undirected	PIA
ENSG00000080845	ENSG00000136717	0.63	PPI	undirected	PIA
ENSG00000152422	ENSG00000136717	0.63	PPI	undirected	PIA
ENSG00000106976	ENSG00000136717	0.40	PPI	undirected	PIA
ENSG00000186868	ENSG00000136717	0.40	PPI	undirected	PIA
ENSG00000186868	ENSG00000136717	0.56	PPI	undirected	PIA
ENSG00000080845	ENSG00000136717	0.63	PPI	undirected	PIA
ENSG00000152422	ENSG00000136717	0.63	PPI	undirected	PIA
ENSG00000165140	ENSG00000136717	0.63	PPI	undirected	PIA
ENSG00000186868	ENSG00000136717	0.56	PPI	undirected	PIA
ENSG00000186868	ENSG00000136717	0.56	PPI	undirected	PIA
ENSG00000152422	ENSG00000136717	0.63	PPI	undirected	PIA
ENSG00000165140	ENSG00000136717	0.63	PPI	undirected	PIA
ENSG00000188906	ENSG00000215301	0.35	PPI	undirected	PIA
ENSG00000124214	ENSG00000158560	0.43	PPI	undirected	PIA
ENSG00000124214	ENSG00000158560	0.43	PPI	undirected	PIA
ENSG00000175387	ENSG00000158560	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000105669	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000169248	0.44	PPI	undirected	PIA
ENSG00000188906	ENSG00000107404	0.54	PPI	undirected	PIA
ENSG00000188906	ENSG00000107404	0.54	PPI	undirected	PIA
