ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000105085	ENSG00000156603	0.64	PPI	undirected	SIA
ENSG00000133398	ENSG00000156603	0.87	PPI	undirected	SIA
ENSG00000155111	ENSG00000156603	0.50	PPI	undirected	SIA
ENSG00000063322	ENSG00000156603	0.80	PPI	undirected	SIA
ENSG00000141026	ENSG00000156603	0.64	PPI	undirected	SIA
ENSG00000133398	ENSG00000156603	0.87	PPI	undirected	SIA
ENSG00000156603	ENSG00000156603	0.73	PPI	undirected	SIA
ENSG00000177885	ENSG00000125107	0.35	PPI	undirected	SIA
ENSG00000153827	ENSG00000172508	0.37	PPI	undirected	SIA
ENSG00000117560	ENSG00000183246	0.44	PPI	undirected	SIA
ENSG00000137486	ENSG00000134909	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000016490	0.35	PPI	undirected	SIA
ENSG00000156475	ENSG00000066933	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000197879	0.35	PPI	undirected	SIA
ENSG00000160691	ENSG00000197879	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000197879	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000197879	0.35	PPI	undirected	SIA
ENSG00000137486	ENSG00000197879	0.35	PPI	undirected	SIA
ENSG00000198794	ENSG00000092531	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000143575	0.35	PPI	undirected	SIA
ENSG00000142192	ENSG00000166313	0.73	PPI	undirected	SIA
ENSG00000142192	ENSG00000166313	0.73	PPI	undirected	SIA
ENSG00000142192	ENSG00000166313	0.73	PPI	undirected	SIA
ENSG00000142192	ENSG00000166313	0.73	PPI	undirected	SIA
ENSG00000168412	ENSG00000101856	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000213719	0.35	PPI	undirected	SIA
ENSG00000117560	ENSG00000182389	0.44	PPI	undirected	SIA
ENSG00000137486	ENSG00000011405	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000011405	0.35	PPI	undirected	SIA
ENSG00000160691	ENSG00000105647	0.35	PPI	undirected	SIA
ENSG00000165458	ENSG00000105647	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000105647	0.66	PPI	undirected	SIA
ENSG00000101336	ENSG00000105647	0.40	PPI	undirected	SIA
ENSG00000137486	ENSG00000105647	0.55	PPI	undirected	SIA
ENSG00000110395	ENSG00000105647	0.62	PPI	undirected	SIA
ENSG00000167193	ENSG00000105647	0.35	PPI	undirected	SIA
