ensg	gene_name
ENSG00000176340	COX8A
ENSG00000135940	COX5B
ENSG00000026103	FAS
ENSG00000170906	NDUFA3
ENSG00000179091	CYC1
ENSG00000131143	COX4I1
ENSG00000152234	ATP5A1
ENSG00000064012	CASP8
ENSG00000132906	CASP9
ENSG00000198938	MT-CO3
ENSG00000111775	COX6A1
ENSG00000099624	ATP5D
ENSG00000102001	CACNA1F
ENSG00000154723	ATP5J
ENSG00000185633	NDUFA4L2
ENSG00000255339	RP11-411B6.6
ENSG00000198899	MT-ATP6
ENSG00000004779	NDUFAB1
ENSG00000118217	ATF6
ENSG00000188386	PPP3R2
ENSG00000183454	GRIN2A
ENSG00000126267	COX6B1
ENSG00000151366	NDUFC2
ENSG00000178372	CALML5
ENSG00000125538	IL1B
ENSG00000115944	COX7A2L
ENSG00000198712	MT-CO2
ENSG00000082701	GSK3B
ENSG00000151364	KCTD14
ENSG00000130203	APOE
ENSG00000117362	APH1A
ENSG00000172115	CYCS
ENSG00000145494	NDUFS6
ENSG00000178363	CALML3
ENSG00000178127	NDUFV2
ENSG00000167792	NDUFV1
ENSG00000145335	SNCA
ENSG00000139180	NDUFA9
ENSG00000196296	ATP2A1
ENSG00000137845	ADAM10
ENSG00000184983	NDUFA6
ENSG00000101333	PLCB4
ENSG00000158864	NDUFS2
ENSG00000273079	GRIN2B
ENSG00000241837	ATP5O
ENSG00000166136	NDUFB8
ENSG00000168653	NDUFS5
ENSG00000259112	NDUFC2-KCTD14
ENSG00000154518	ATP5G3
ENSG00000169885	CALML6
ENSG00000232810	TNF
ENSG00000175445	LPL
ENSG00000110955	ATP5B
ENSG00000156885	COX6A2
ENSG00000116459	ATP5F1
ENSG00000131055	COX4I2
ENSG00000156467	UQCRB
ENSG00000169021	UQCRFS1
ENSG00000111640	GAPDH
ENSG00000187581	COX8C
ENSG00000128609	NDUFA5
ENSG00000010256	UQCRC1
ENSG00000067182	TNFRSF1A
ENSG00000135390	ATP5G2
ENSG00000072506	HSD17B10
ENSG00000267855	NDUFA7
ENSG00000014216	CAPN1
ENSG00000204403	CASP12
ENSG00000205155	PSENEN
ENSG00000161509	GRIN2C
ENSG00000174437	ATP2A2
ENSG00000198838	RYR3
ENSG00000136521	NDUFB5
ENSG00000143252	SDHC
ENSG00000186318	BACE1
ENSG00000186868	MAPT
ENSG00000124172	ATP5E
ENSG00000221823	PPP3R1
ENSG00000073578	SDHA
ENSG00000164405	UQCRQ
ENSG00000189043	NDUFA4
ENSG00000228253	MT-ATP8
ENSG00000164919	COX6C
ENSG00000168040	FADD
ENSG00000107758	PPP3CB
ENSG00000267059	AC005943.2
ENSG00000178607	ERN1
ENSG00000160014	CALM3
ENSG00000173660	UQCRH
ENSG00000183648	NDUFB1
ENSG00000162909	CAPN2
ENSG00000138613	APH1B
ENSG00000149782	PLCB3
ENSG00000002330	BAD
ENSG00000115286	NDUFS7
ENSG00000160194	NDUFV3
ENSG00000213619	NDUFS3
ENSG00000127184	COX7C
ENSG00000151067	CACNA1C
ENSG00000131174	COX7B
ENSG00000138814	PPP3CA
ENSG00000151694	ADAM17
ENSG00000102882	MAPK3
ENSG00000165806	CASP7
ENSG00000196549	MME
ENSG00000140740	UQCRC2
ENSG00000125356	NDUFA1
ENSG00000184752	NDUFA12
ENSG00000198804	MT-CO1
ENSG00000182240	BACE2
ENSG00000178741	COX5A
ENSG00000112695	COX7A2
ENSG00000165264	NDUFB6
ENSG00000110717	NDUFS8
ENSG00000123384	LRP1
ENSG00000137841	PLCB2
ENSG00000080815	PSEN1
ENSG00000172071	EIF2AK3
ENSG00000120868	APAF1
ENSG00000182621	PLCB1
ENSG00000123104	ITPR2
ENSG00000167774	CTD-2550O8.5
ENSG00000170516	COX7B2
ENSG00000164258	NDUFS4
ENSG00000176884	GRIN1
ENSG00000167863	ATP5H
ENSG00000164305	CASP3
ENSG00000015475	BID
ENSG00000142192	APP
ENSG00000065518	NDUFB4
ENSG00000159593	NAE1
ENSG00000166313	APBB1
ENSG00000109390	NDUFC1
ENSG00000023228	NDUFS1
ENSG00000140990	NDUFB10
ENSG00000160471	COX6B2
ENSG00000096433	ITPR3
ENSG00000198668	CALM1
ENSG00000105464	GRIN2D
ENSG00000186010	NDUFA13
ENSG00000157388	CACNA1D
ENSG00000074370	ATP2A3
ENSG00000100030	MAPK1
ENSG00000159199	ATP5G1
ENSG00000147123	NDUFB11
ENSG00000119912	IDE
ENSG00000184076	UQCR10
ENSG00000089250	NOS1
ENSG00000117118	SDHB
ENSG00000143801	PSEN2
ENSG00000131495	NDUFA2
ENSG00000130414	NDUFA10
ENSG00000147684	NDUFB9
ENSG00000081248	CACNA1S
ENSG00000099795	NDUFB7
ENSG00000165629	ATP5C1
ENSG00000162736	NCSTN
ENSG00000090266	NDUFB2
ENSG00000150995	ITPR1
ENSG00000164885	CDK5
ENSG00000143933	CALM2
ENSG00000204370	SDHD
ENSG00000156052	GNAQ
ENSG00000198727	MT-CYB
ENSG00000161281	COX7A1
ENSG00000120910	PPP3CC
ENSG00000119421	NDUFA8
ENSG00000174886	NDUFA11
ENSG00000127540	UQCR11
ENSG00000119013	NDUFB3
ENSG00000176749	CDK5R1
